,,POLLUTANTS,,,,,,,SOURCE / BIBLIOGRAPHY,,,,,
YEAR,MONTH,PM2.5,PM10,NO,NO2,OZONE,SO2,,PM2.5,PM10,NO,NO2,OZONE,SO2
2008,1,,,,,,,,,,,,,
,2,,,,,,,,,,,,,
,3,,,,,,,,,,,,,
,4,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,6,,,,,,,,,,,,,
,7,,,,,,,,,,,,,
,8,,,,,,,,,,,,,
,9,,,,,,,,,,,,,
,10,,,,,,,,,,,,,
,11,,,,,,,,,,,,,
,12,,,,,,,,,,,,,
2009,1,,,,,,,,,,,,,
,2,,,,,,,,,,,,,
,3,,,,,,,,,,,,,
,4,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,6,,,,,,,,,,,,,
,7,,,,,,,,,,,,,
,8,,,,,,,,,,,,,
,9,,,,,,,,,,,,,
,10,,,,,,,,,,,,,
,11,,,,,,,,,,,,,
,12,,,,,,,,,,,,,
2010,1,,,,,,,,,,,,,
,2,,,,,,,,,,,,,
,3,,,,,,,,,,,,,
,4,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,6,,,,,,,,,,,,,
,7,,,,,,,,,,,,,
,8,,,,,,,,,,,,,
,9,,,,,,,,,,,,,
,10,,,,,,,,,,,,,
,11,,,,,,,,,,,,,
,12,,,,,,,,,,,,,
